fertile_kg/m3,energy low [eV],energy high [eV],energy mid [eV],U235_ng,U235_ng_stdev,U238_ng,U238_ng_stdev,Th232_ng,Th232_ng_stdev,U235_fis,U235_fis_stdev,U238_fis,U238_fis_stdev,Th232_fis,Th232_fis_stdev,Li6_nt,Li6_nt_stdev,Li7_nt,Li7_nt_stdev,Be9_n2n,Be9_n2n_stdev,Pb_n2n,Pb_n2n_stdev,filename,fertile_mt,br_vol_m3
100.0,0.001,0.0010470399110535,0.0010235199555267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tallies_FLiBe_900K_Li07.5_U238_100.00kgm3_4e6x25,62.503235630731844,625.0323563073184
100.0,0.0010470399110535,0.001096292575339,0.0010716662431962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tallies_FLiBe_900K_Li07.5_U238_100.00kgm3_4e6x25,62.503235630731844,625.0323563073184
100.0,0.001096292575339,0.0011478620805716,0.0011220773279553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tallies_FLiBe_900K_Li07.5_U238_100.00kgm3_4e6x25,62.503235630731844,625.0323563073184
100.0,0.0011478620805716,0.0012018574107434,0.0011748597456575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tallies_FLiBe_900K_Li07.5_U238_100.00kgm3_4e6x25,62.503235630731844,625.0323563073184
100.0,0.0012018574107434,0.0012583926764438,0.0012301250435936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tallies_FLiBe_900K_Li07.5_U238_100.00kgm3_4e6x25,62.503235630731844,625.0323563073184
100.0,0.0012583926764438,0.0013175873560142,0.001287990016229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tallies_FLiBe_900K_Li07.5_U238_100.00kgm3_4e6x25,62.503235630731844,625.0323563073184
100.0,0.0013175873560142,0.0013795665480464,0.0013485769520303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tallies_FLiBe_900K_Li07.5_U238_100.00kgm3_4e6x25,62.503235630731844,625.0323563073184
100.0,0.0013795665480464,0.0014444612357589,0.0014120138919026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tallies_FLiBe_900K_Li07.5_U238_100.00kgm3_4e6x25,62.503235630731844,625.0323563073184
100.0,0.0014444612357589,0.0015124085638093,0.0014784348997841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tallies_FLiBe_900K_Li07.5_U238_100.00kgm3_4e6x25,62.503235630731844,625.0323563073184
100.0,0.0015124085638093,0.0015835521281275,0.0015479803459684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tallies_FLiBe_900K_Li07.5_U238_100.00kgm3_4e6x25,62.503235630731844,625.0323563073184
100.0,0.0015835521281275,0.0016580422793833,0.0016207972037554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tallies_FLiBe_900K_Li07.5_U238_100.00kgm3_4e6x25,62.503235630731844,625.0323563073184
100.0,0.0016580422793833,0.0017360364407285,0.0016970393600559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tallies_FLiBe_900K_Li07.5_U238_100.00kgm3_4e6x25,62.503235630731844,625.0323563073184
100.0,0.0017360364407285,0.0018176994404861,0.0017768679406073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tallies_FLiBe_900K_Li07.5_U238_100.00kgm3_4e6x25,62.503235630731844,625.0323563073184
100.0,0.0018176994404861,0.0019032038604887,0.0018604516504874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tallies_FLiBe_900K_Li07.5_U238_100.00kgm3_4e6x25,62.503235630731844,625.0323563073184
100.0,0.0019032038604887,0.0019927304008028,0.0019479671306457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tallies_FLiBe_900K_Li07.5_U238_100.00kgm3_4e6x25,62.503235630731844,625.0323563073184
100.0,0.0019927304008028,0.0020864682616103,0.0020395993312065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tallies_FLiBe_900K_Li07.5_U238_100.00kgm3_4e6x25,62.503235630731844,625.0323563073184
100.0,0.0020864682616103,0.0021846155430525,0.0021355419023314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tallies_FLiBe_900K_Li07.5_U238_100.00kgm3_4e6x25,62.503235630731844,625.0323563073184
